city,state,iata,lng,lat,coordinates,population,population_source,status,last_year_served,last_carrier,routes_lost,former_hubs,revia_variant,human_detail,source,verification
Jamestown,NY,JHW,-79.258,42.1534,"[-79.258, 42.1534]",28712,US Census 2020,lost-all-service,2018,Southern Airways Express,1,PIT,R-50,Per-passenger subsidy hit $460 — more than double the $200 federal cap — and DOT pulled it.,DOT Order 2017-12-2 (eff. 2018-01-16); GAO-20-74; Post-Journal 2024,confirmed
Franklin/Oil City,PA,FKL,-79.8604,41.3779,"[-79.8604, 41.3779]",6097,US Census 2020,lost-all-service,2019,Southern Airways Express,1,PIT,R-50,Last service was a 19x-weekly 9-seat Cessna Caravan to Pittsburgh before EAS was withdrawn.,DOT Order 2019-8-17 (eff. 2019-10-18); ch-aviation 2019,confirmed
Hagerstown,MD,HGR,-77.7295,39.7079,"[-77.7295, 39.7079]",43527,US Census 2020,diminished,2019,Southern Airways Express (EAS); Allegiant retains leisure,2,"BWI, PIT",R-50,"Sits within 70nm of Dulles, BWI and National — that proximity is exactly why DOT cut the subsidy; only a 2x-weekly Allegiant flight to Orlando remains.",DOT Order 2019-10-10; ch-aviation 2019,confirmed
Athens,GA,AHN,-83.3263,33.9486,"[-83.3263, 33.9486]",127315,US Census 2020,lost-all-service,2014,"(EAS, pre-2014) — confirm operator",1,ATL,R-50,"Home of UGA, ~70 miles from Atlanta's hub; failed the 10-enplanements-per-day floor.",DOT Order 2014-6-6 (eff. 2014-09-30); Air Midwest shutdown 2008,needs-check
Kingman,AZ,IGM,-113.938,35.2595,"[-113.938, 35.2595]",32689,US Census 2020,lost-all-service,2015,Great Lakes Aviation,1,LAS,R-50,"Served by Air Midwest Beech 1900Ds to 2008, restored, then lost EAS for good in 2015.",DOT Order 2015-3-6 (eff. 2015-05-01); Air Midwest 2008,confirmed
El Dorado,AR,ELD,-92.8133,33.221,"[-92.8133, 33.221]",17756,US Census 2020,lost-all-service,2008,Air Midwest (Beech 1900D),1,DFW,R-50,South Arkansas oil town; lost its Dallas link when Mesa shut Air Midwest in June 2008.,Air Midwest shutdown (eff. 2008-06-30); DOT EAS reports,needs-check
Cumberland,MD,CBE,-78.761,39.6153,"[-78.761, 39.6153]",19076,US Census 2020,lost-all-service,,(confirm — likely US Airways Express/Colgan era),1,(confirm),R-50,"Allegany County seat, the ""Queen City,"" walled off by ridge-and-valley terrain from the rest of Maryland.",Revia deck; US Census 2020 — confirm last service via DOT EAS list,needs-check
Prescott,AZ,PRC,-112.42,34.6545,"[-112.42, 34.6545]",45827,US Census 2020,diminished,2008,Air Midwest (2008); SkyWest/United Express restored service,1,"PHX (lost), now DEN/LAX",R-50,Lost Air Midwest in 2008 but is now one of the rare restorations — SkyWest flies United Express to Denver and LA.,Air Midwest 2008; DOT waiver 2016; confirm current SkyWest schedule,needs-check
Farmington,NM,FMN,-108.23,36.7412,"[-108.23, 36.7412]",46624,US Census 2020,diminished,2008,Air Midwest (2008); subsidized service later restored,1,DEN,R-50,"Four Corners hub city; lost Air Midwest in 2008, later reconnected to Denver under EAS.",Air Midwest 2008; confirm current EAS carrier,needs-check
Glasgow,MT,GGW,-106.615,48.2125,"[-106.615, 48.2125]",3353,US Census 2020,diminished,,(current EAS carrier — confirm),0,BIL/MSP (EAS),R-50,Routinely ranked the most isolated town in the lower 48 — the definition of an EAS lifeline.,Revia deck; DOT EAS subsidized report,needs-check
Devils Lake,ND,DVL,-98.9088,48.1142,"[-98.9088, 48.1142]",7192,US Census 2020,diminished,,(current EAS carrier — confirm),0,MSP (EAS),R-50,Connected to Minneapolis only through federal subsidy after mainline regional service withdrew.,Revia deck; DOT EAS subsidized report,needs-check
Brookings,SD,BKX,-96.8169,44.3047,"[-96.8169, 44.3047]",23377,US Census 2020,diminished,,(current EAS carrier — confirm),0,MSP (EAS),R-50,SDSU college town kept on the network only by EAS despite a 23k population.,Revia deck; DOT EAS subsidized report,needs-check
Wolf Point,MT,OLF,-105.575,48.0945,"[-105.575, 48.0945]",2585,US Census 2020,diminished,,(current EAS carrier — confirm),0,BIL (EAS),R-50,On the Fort Peck Reservation; air service is a genuine medical-access lifeline.,Revia deck; DOT EAS subsidized report,needs-check
Bradford,PA,BFD,-78.6401,41.8031,"[-78.6401, 41.8031]",7849,US Census 2020,diminished,,(current EAS carrier — confirm),0,PIT (EAS),R-50,Held a subsidy-cap waiver to stay in the program when others were cut.,Revia deck; ch-aviation 2018 waiver list,needs-check
Lewistown,MT,LWT,-109.467,47.0493,"[-109.467, 47.0493]",5924,US Census 2020,diminished,,(current EAS carrier — confirm),0,BIL (EAS),R-50,Geographic center of Montana; reachable by scheduled air only through EAS.,Revia deck; DOT EAS subsidized report,needs-check
